job_id,contractor,customer,phone,email,street,city,state,zip,hoa,system_size,panel_count,watt,inverter,battery,roof_type,rep,crew,partner,financer,invoice_number,install_cost,contract_amount,m1_due,m1_received,m2_due,m2_received,m1_amount,m2_amount,utility_company,permit_status,stage,status,install_date,inspection_date,pto_date,site_survey_date,interconnection_status,next_action,adders,notes,created_at,updated_at
CT-5274,Solarize,"Janvier, Paulette",860-555-0192,paulette.janvier@email.com,84 Elmwood Ave,Waterbury,CT,06704,false,14.4,36,400,Enphase IQ8A,false,Asphalt shingle,Tommy,"Tommy,Jake",SolarCrew NE,GoodLeap,2968,11628,13954,true,true,false,false,11628,2326,Eversource CT,Approved,40,Install Complete,2026-03-03,,,2026-01-15,Approved,Schedule inspection,[object Object],Homeowner confirmed access. Panel upgrade included.,2026-01-10,2026-03-03
MA-5092,Empower,"Ciampoli, Mary",413-555-0847,mary.ciampoli@email.com,219 Oakland St,Springfield,MA,01108,false,7.8,20,390,Enphase IQ8M,false,Asphalt shingle,Tommy,"Tommy,Jake",SolarCrew NE,Cash,INV-2967,6240,6240,true,true,false,false,,,Eversource MA,Approved,50,Rescheduled / Issue,2026-03-03,,,2026-01-20,Approved,Utility redesign submission,[object Object],Meter upgrade required before PTO. Utility rejected first submission. Need exception form.,2026-01-18,2026-03-05
NH-4685,Empower,"James, Marta",603-555-0334,marta.james@email.com,47 Crown St,Nashua,NH,03060,false,8.7,0,0,SolarEdge HD Wave,false,Metal,Kyle,"Kyle,Matt",SolarCrew NE,LightReach,2969,0,8700,true,true,true,true,6960,1740,Eversource NH,Not Submitted,80,Fully Paid / Closed,2026-03-04,2026-03-10,,2026-01-22,Approved,"Collect M2, submit PTO packet",,Inspection passed 3/10. HOA approval on file.,2026-03-17,2026-03-10
ME-5021,Empower,"Brookings, Timothy",207-555-0561,timothy.brookings@email.com,88 Foreside Rd,Portland,ME,04101,false,7.2,18,400,Enphase IQ8A,false,Asphalt shingle,Matt,Matt,Maine Solar Partners,GoodLeap,INV-2971,5680,5680,false,false,false,false,,,CMP,Approved,30,Rescheduled / Issue,2026-03-06,,,2026-02-01,Approved,Diagnose monitoring issue — Envoy offline,,Monitoring offline since install. CT check needed. Envoy not communicating.,2026-01-28,2026-03-06
CT-5301,Solarize,"Rivera, Carlos",203-555-0773,carlos.rivera@email.com,412 Whalley Ave,New Haven,CT,06511,false,10.2,26,390,Enphase IQ8A,false,Asphalt shingle,Kyle,"Tommy,Jake",SolarCrew NE,Mosaic,INV-2972,8160,8160,false,false,false,false,,,Eversource CT,Approved,20,Scheduled,2026-03-18,,,2026-02-10,Approved,"Await permit approval, prep install crew",,"Submitted to town 3/7. Standard residential, no conditions expected.",2026-02-05,2026-03-07
MA-5110,Empower,"Okafor, Ngozi",508-555-0219,ngozi.okafor@email.com,91 Burncoat St,Worcester,MA,01606,false,9.6,24,400,SolarEdge HD Wave,true,Asphalt shingle,Matt,"Matt,Jake",SolarCrew NE,GoodLeap,,7680,7680,false,false,false,false,,,National Grid,Approved,20,Scheduled,2026-03-25,,,2026-02-18,Approved,"Finalize design, submit permit",,Structural engineering sign-off pending.,2026-02-15,2026-03-01
IMPORT-1,,Antonio Ludovina,N/A 2,N/A 2,100 Libby Ln West Gardiner,,ME,,false,6.800,16,425,,false,,,Tommy,Empower,,2505,1500,1500,true,true,true,true,1500,,,Approved,,Install Complete,2024-12-19,,,,Approved,,[object Object],Gen kit installed 1/11,2026-03-15,
IMPORT-2,,"Abernethy, Abraham",N/A 2,N/A 2,12 Rogers Trl Falmouth,,ME,04105,false,12.750,30,425,,false,,,Pedro,Empower,,2503,6120,7650,true,true,true,true,6120,1530,,Approved,,Install Complete,2025-01-03,,,,Approved,,,completed 1/7,2026-03-15,
3812,,"Sinclair, Stephanie",N/A 2,N/A 2,4 Hope Ln,Sandwich,MA,,false,10.200,0,0,,false,,,Pedro,Empower,,2502,0,8568,true,true,true,true,4896,3672,,Not Submitted,,Fully Paid / Closed,2025-01-06,,,,Approved,,,complete 1/6,2026-03-17,
IMPORT-4,,"Stoddard, Claudia",N/A 2,N/A 2,238 Shaker Hill Road Alfred,,ME,04002,false,22.525,53,425,,false,,,Pedro,Empower,,2504,15312,18015,true,true,true,true,15312,2703,,Approved,,Install Complete,2025-01-07,,,,Approved,,,TRENCH Completed 1/10,2026-03-15,
